,from,to,pathway,database
607,Rac2,Pak3,ppi,ppi
608,SuUR,CG7006,ppi,ppi
609,ph-d,ph-p,ppi,ppi
610,disp,dlp,ppi,ppi
611,gw,pAbp,ppi,ppi
612,gw,pAbp,ppi,ppi
613,gw,pAbp,ppi,ppi
614,gw,pAbp,ppi,ppi
615,gw,pAbp,ppi,ppi
616,CG31917,Tfb5,ppi,ppi
617,CG31917,Tfb5,ppi,ppi
618,mbc,rols,ppi,ppi
619,cup,Pur-alpha,ppi,ppi
620,Taf10b,Taf10,ppi,ppi
621,jar,CG31357,ppi,ppi
622,Actn,rols,ppi,ppi
623,Pbp95,Pbp45,ppi,ppi
624,Pbp95,Pbp45,ppi,ppi
625,Pbp95,Pbp45,ppi,ppi
626,Pbp95,Pbp45,ppi,ppi
627,Pbp95,Pbp45,ppi,ppi
628,gro,E(spl)m4-BFM,ppi,ppi
629,msl-1,mof,ppi,ppi
630,msl-1,mof,ppi,ppi
631,msl-1,mof,ppi,ppi
632,Synj,EndoA,ppi,ppi
633,fzy,mad2,ppi,ppi
634,fzy,mad2,ppi,ppi
635,Cka,GckIII,ppi,ppi
636,X11L,kirre,ppi,ppi
637,RpL11,Fmr1,ppi,ppi
638,RpL11,Fmr1,ppi,ppi
639,Mps1,BubR1,ppi,ppi
640,ed,fred,ppi,ppi
641,spz,Tl,ppi,ppi
642,spz,Tl,ppi,ppi
643,spz,Tl,ppi,ppi
644,spz,Tl,ppi,ppi
645,spz,Tl,ppi,ppi
646,spz,Tl,ppi,ppi
647,spz,Tl,ppi,ppi
648,spz,Tl,ppi,ppi
649,spz,Tl,ppi,ppi
650,spz,Tl,ppi,ppi
651,spz,Tl,ppi,ppi
652,spz,Tl,ppi,ppi
653,spz,Tl,ppi,ppi
654,spz,Tl,ppi,ppi
655,spz,Tl,ppi,ppi
656,spz,Tl,ppi,ppi
657,spz,Tl,ppi,ppi
658,spz,Tl,ppi,ppi
659,lid,Myc,ppi,ppi
660,lid,Myc,ppi,ppi
661,lid,Myc,ppi,ppi
662,Iswi,Acf,ppi,ppi
663,Iswi,Acf,ppi,ppi
664,Iswi,Acf,ppi,ppi
665,Iswi,Acf,ppi,ppi
666,Iswi,Acf,ppi,ppi
667,Iswi,Acf,ppi,ppi
668,Iswi,Acf,ppi,ppi
669,Iswi,Acf,ppi,ppi
670,Iswi,Acf,ppi,ppi
671,Iswi,Acf,ppi,ppi
672,Iswi,Acf,ppi,ppi
673,Tl,Tl,ppi,ppi
674,Tl,Tl,ppi,ppi
675,Tl,Tl,ppi,ppi
676,Tl,Tl,ppi,ppi
677,Tl,Tl,ppi,ppi
678,trx,Sbf,ppi,ppi
679,Kap-alpha3,Kr-h2,ppi,ppi
680,msl-1,mof,ppi,ppi
681,msl-1,mof,ppi,ppi
682,msl-1,mof,ppi,ppi
683,msl-1,mof,ppi,ppi
684,msl-1,mof,ppi,ppi
685,msl-1,mof,ppi,ppi
686,msl-1,mof,ppi,ppi
687,msl-1,mof,ppi,ppi
688,msl-1,mof,ppi,ppi
689,msl-1,mof,ppi,ppi
690,msl-1,mof,ppi,ppi
691,msl-1,mof,ppi,ppi
692,msl-1,mof,ppi,ppi
693,Dcr-1,AGO1,ppi,ppi
694,Dcr-1,AGO1,ppi,ppi
695,Dcr-1,AGO1,ppi,ppi
696,Dcr-1,AGO1,ppi,ppi
697,Dcr-1,AGO1,ppi,ppi
698,Pp2A-29B,Kr-h2,ppi,ppi
699,DIP-theta,dpr2,ppi,ppi
700,DIP-theta,dpr2,ppi,ppi
701,brm,Bap111,ppi,ppi
702,brm,Bap111,ppi,ppi
703,brm,Bap111,ppi,ppi
704,brm,Bap111,ppi,ppi
